차량아이디,상품명(연료)
52,모하비 더 뉴 마스터 6인 (경)
52,모하비 더 뉴 마스터 7인 (경)
52,모하비 더 마스터 5인 (경)
52,모하비 더 마스터 7인 (경)
53,미니 쿠퍼 5도어 (휘)
53,미니 쿠퍼 컨버터블 (휘)
53,미니 쿠퍼 컨버터블JCW (휘)
53,미니 쿠퍼 컨버터블S (휘)
53,미니 쿠퍼 컨트리맨 (휘)
54,미니 클럽맨 (휘)
55,베뉴 (휘)
55,올 뉴 베뉴 (휘)
56,베리 뉴 티볼리 (경)
57,베리 뉴 티볼리 (휘)
58,벤츠 A220 (휘)
58,벤츠 A250 (휘)
59,벤츠 C200 카브리올레 (휘)
59,벤츠 CLA 220 (휘)
60,벤츠 E350 (휘)
61,벤츠 GLB 220 (휘)
61,벤츠 GLB 250 7인 (휘)
62,벤츠 e250 (휘)
63,벤츠 뉴 SLK-클래스 컨버터블 (휘)
64,벤츠 C220d (경)
64,벤츠 E220D (경)
64,벤츠 E220D 카브리올레 (경)
64,벤츠 GLB 200 5인 (경)
64,벤츠 스프린터 15인 (경)
65,벤츠 EQA 250 (전기/충전비유료)
65,벤츠 EQS 450 (전기/충전비유료)
66,벤츠 GLC300 (하이브리드)
67,벨로스터 (휘)
68,볼보 S90 (하이브리드)
68,볼보 XC90 (하이브리드)
69,볼보 S90 (휘)
69,볼보 V60 (휘)
69,볼보 V90 (휘)
69,볼보 XC40 AWD (휘)
69,볼보 XC60 (휘)
69,볼보 XC90 (휘)
70,볼트 EV (전기/충전비유료)
71,셀토스 (휘)
72,스타렉스 어반 9인 (경)
73,스타리아 11인 (경)
73,스타리아 9인 (경)
73,스타리아 라운지 7인 (경)
74,스토닉 (경)
75,스토닉 (휘)
75,스팅어2.0 (휘)
75,스팅어3.3 (휘)
76,스포티지 4세대 (경)
76,스포티지 5세대 (경)
76,스포티지 더 볼드 (경)
76,올 뉴 스포티지 (경)
77,스포티지 5세대 (LPG)
78,스포티지 5세대 (휘)
78,스포티지 5세대 터보 (휘)
79,시트로엥 C3 에어크로스 (경)
80,시트로엥 그랜드 C4 스페이스 투어러 5인 (경)
81,시트로엥 그랜드 C4 피카소 (휘)
82,싼타페 DM 5인 (경)
82,싼타페 DM 7인 (경)
82,싼타페 TM 5인 (경)
82,싼타페 TM 7인 (경)
82,싼타페 더 프라임 5인 (경)
82,싼타페 더 프라임 7인 (경)
82,더 뉴 싼타페 7인 (경)
82,더 뉴 싼타페 TM 5인 (경)
83,싼타페 TM 7인 (휘)
83,더 뉴 싼타페 TM 5인 (휘)
83,더 뉴 싼타페 TM 7인 (휘)
84,쏘나타 뉴 라이즈 (LPG)
84,쏘나타DN8 (LPG)
85,쏘나타 뉴 라이즈 (휘)
85,쏘나타DN8 (휘)
86,쏘렌토 4세대 5인 (경)
86,쏘렌토 4세대 6인 (경)
86,쏘렌토 4세대 7인 (경)
86,더 뉴 쏘렌토 5인 (경)
86,더 뉴 쏘렌토 7인 (경)
86,올 뉴 쏘렌토 5인 (경)
86,올 뉴 쏘렌토 7인 (경)
87,쏘울 EV (전기/충전비유료)
87,쏘울 부스터 EV (전기/충전비유료)
88,쏘울 부스터 (휘)
89,쏠라티 15인 (경)
89,쏠라티 투어 11인 (경)
90,아반떼AD (LPG)
90,아반떼MD (LPG)
90,더 뉴 아반떼 AD (LPG)
91,아반떼AD (휘)
91,아반떼AD 스포츠 (휘)
91,아반떼MD (휘)
91,더 뉴 아반떼 AD (휘)
91,더 뉴 아반떼MD (휘)
92,아반떼N (휘)
93,아우디 A5 스포트백 (휘)
93,아우디 A6 (휘)
94,아이오닉 (하이브리드)
95,아이오닉 EV (전기/충전비유료)
95,아이오닉5 EV (전기/충전비무료)
95,아이오닉5 EV (전기/충전비유료)
95,아이오닉5 EV 4륜 (전기/충전비유료)
96,에스컬레이드 7인 (휘)
96,에스컬레이드 플레티넘 (휘)
97,엑센트 (휘)
98,올 뉴 SM7 (LPG)
99,올 뉴 쏘울 (휘)
100,올 뉴 아반떼CN7 (LPG)
101,올 뉴 아반떼CN7 (휘)
102,올 뉴 크루즈 (휘)
103,올 뉴 투싼 (경)
103,올 뉴 투싼TL (경)
103,더 올 뉴 투싼 (경)
103,투싼 4세대 (경)
104,올란도 5인 (경)
104,올란도 7인 (경)
105,올란도 7인 (LPG)
106,제네시스 G70 (휘)
106,제네시스 GV70 5인 (휘)
106,더 뉴 제네시스 G70 (휘)
107,제네시스 G80 (휘)
107,제네시스 GV80 5인 (휘)
107,제네시스 GV80 7인 (휘)
108,제네시스 G90 (휘)
108,제네시스 G90 4륜 4인 (휘)
109,제네시스 GV60 (전기/충전비유료)
110,제네시스 GV70 5인 (경)
110,제네시스 GV80 6인 (경)
110,제네시스 GV80 7인 (경)
111,지프 그랜드 체로키 5인 (휘)
111,지프 랭글러 4도어 (휘)
111,지프 랭글러 루비콘 (휘)
111,지프 레니게이드 (휘)
111,지프 체로키 5인 AWD (휘)
111,지프 컴패스 (휘)
112,차박 캠핑 로드칸 루프탑 (경)
113,카니발 4세대 11인 (경)
113,카니발 4세대 7인 (경)
113,카니발 4세대 9인 (경)
113,카니발 4세대 리무진 7인 (경)
113,카니발 저상 휠체어 슬로프 (경)
113,카니발 하이리무진 7인 (경)
113,올 뉴 카니발 11인 (경)
113,올 뉴 카니발 9인 (경)
114,올 뉴 카니발 리무진 7인 (경)
114,올 뉴 카니발 하이리무진 7인 (경)
114,올 뉴 카니발 하이리무진 9인 (경)
114,더 뉴 카니발 11인 (경)
114,더 뉴 카니발 9인 (경)
114,더 뉴 카니발 리무진 7인 (경)
114,더 뉴 카니발 하이리무진 7인 (경)
114,더 뉴 카니발 하이리무진 9인 (경)
115,카니발 4세대 9인 (휘)
115,카니발 하이리무진 4인 (휘)
115,카니발 하이리무진 7인 (휘)
116,캐딜락 CT4 (휘)
117,캐딜락 CT5 (휘)
118,캐딜락 XT4 (휘)
118,캐딜락 XT5 (휘)
118,캐딜락 XT6 (휘)
119,캐스퍼 (휘)
119,캐스퍼 인스퍼레이션 (휘)
120,캠핑카 코지560 (경)
121,캠핑카 포터 포레스트 (경)
122,코나 (경)
123,코나 (휘)
123,코나 아이언맨 (휘)
124,코나 EV (전기/충전비유료)
125,코란도 이모션 (전기/충전비유료)
126,코란도 투리스모 9인 (경)
127,테슬라모델3 (전기/충전비유료)
127,테슬라모델3 롱 레인지 (전기/충전비유료)
127,테슬라모델3 퍼포먼스 (전기/충전비유료)
128,토레스 5인 (휘)
129,투싼 4세대 (하이브리드)
130,투싼 4세대 (휘)
130,더 올 뉴 투싼 (휘)
131,트래버스 7인 (휘)
132,트레일블레이저 (휘)
133,티볼리 (연료타입랜덤)
134,티볼리 (휘)
134,티볼리 아머 (휘)
134,티볼리 에어 (휘)
134,뉴 티볼리 (휘)
135,티볼리 에어 (경)
136,팰리세이드 7인 (경)
136,팰리세이드 8인 (경)
137,팰리세이드 7인 (휘)
137,팰리세이드 8인 (휘)
138,포드 머스탱 컨버터블 (휘)
139,포드 브롱코 (휘)
140,포드 익스플로러 7인 (휘)
141,포르쉐 파나메라 (휘)
142,폭스바겐 더 올 뉴 제타 (휘)
143,폭스바겐 골프 8세대 (경)
143,폭스바겐 티구안 2세대 (경)
143,폭스바겐 티록 (경)
143,폭스바겐 파사트 (경)
144,폴스타 2 (전기/충전비유료)
145,푸조 2008 (경)
145,푸조 3008 (경)
145,푸조 5008 (경)
145,푸조 508 (경)
146,푸조 2008 EV (전기/충전비유료)
146,푸조 E2008 (전기/충전비유료)
146,푸조 E208 (전기/충전비유료)
147,BMW I4 (전기/충전비유료)
148,BMW i3 (전기/충전비유료)
